[0424/113800.488:INFO:CONSOLE(20)] "Uncaught TypeError: Cannot set property 'width' of undefined", source: http://127.0.0.1:3000/static/index.js (20)
[0424/122531.850:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122531.899:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122531.899:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122531.959:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122531.960:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122531.963:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122532.005:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122532.006:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122532.053:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122532.098:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122532.106:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122532.143:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122532.144:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122532.191:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/122532.194:INFO:CONSOLE(59)] "Uncaught ReferenceError: diptychWidth is not defined", source: http://127.0.0.1:3000/static/index.js (59)
[0424/131739.269:INFO:CONSOLE(1)] "fun-hooks: referenced 'registerAdserver' but it was never created", source: https://assets.vlitag.com/prebid/default/prebid-v4.36.0.js (1)
[0424/131739.638:INFO:CONSOLE(7)] "[ABD] start beginTest", source: https://cdn.jsdelivr.net/gh/vli-platform/adb-analytics@77bebb/v1.0.min.js (7)
[0424/131739.638:INFO:CONSOLE(7)] "[ABD] adding bait node to DOM", source: https://cdn.jsdelivr.net/gh/vli-platform/adb-analytics@77bebb/v1.0.min.js (7)
[0424/131740.002:INFO:CONSOLE(7)] "[ABD] exiting test loop - value: false", source: https://cdn.jsdelivr.net/gh/vli-platform/adb-analytics@77bebb/v1.0.min.js (7)
[0424/131757.158:INFO:CONSOLE(10)] "Powered by AMP ⚡ HTML – Version 2103020108001 https://pastebin.com/", source: https://cdn.ampproject.org/rtv/012103020108001/amp4ads-v0.mjs (10)
[0424/131757.356:INFO:CONSOLE(10)] "Powered by AMP ⚡ HTML – Version 2103020108001 https://pastebin.com/", source: https://cdn.ampproject.org/rtv/012103020108001/amp4ads-v0.mjs (10)
[0424/131813.746:ERROR:ssl_client_socket_impl.cc(960)] handshake failed; returned -1, SSL error code 1, net_error -113
[0424/131818.219:INFO:CONSOLE(10)] "Powered by AMP ⚡ HTML – Version 2103020108001 https://pastebin.com/", source: https://cdn.ampproject.org/rtv/012103020108001/amp4ads-v0.mjs (10)
[0424/131831.334:INFO:CONSOLE(10)] "Powered by AMP ⚡ HTML – Version 2103020108001 https://pastebin.com/", source: https://cdn.ampproject.org/rtv/012103020108001/amp4ads-v0.mjs (10)
[0424/131837.998:INFO:CONSOLE(10)] "Powered by AMP ⚡ HTML – Version 2103020108001 https://pastebin.com/", source: https://cdn.ampproject.org/rtv/012103020108001/amp4ads-v0.mjs (10)
